Date,Open,High,Low,Close,Volume,Signal_Strength,SuperTrend,Market_Trend,Signal
,TSM,TSM,TSM,TSM,TSM,,,,
2020-05-29,45.95318449504584,46.309197881043985,45.51501390595041,45.94405746459961,10918500,0.0,1,Sideways,0
2020-06-01,46.47350039609748,46.81125615251153,46.135744639683416,46.58304214477539,6187300,0.0,1,Sideways,0
2020-06-02,46.96644866896173,47.50503392591588,46.82039182719128,47.47764587402344,6063600,0.0,1,Sideways,0
2020-06-03,48.05275197977933,48.60959484407659,47.851922492388134,48.436153411865234,8380200,0.0,1,Sideways,0
2020-06-04,48.436156697896074,49.63199622634825,48.408768640858156,49.54983901977539,13269500,0.0,1,Sideways,0
2020-06-05,50.66351602853532,51.43031532933908,50.26186057850281,50.3896598815918,9776100,0.0,1,Sideways,0
2020-06-08,50.882600525206435,50.91911212266643,49.94235637465097,50.727413177490234,6302100,0.0,1,Sideways,0
2020-06-09,50.471799835769545,51.69502679112167,50.161428713299046,51.6767692565918,9355100,0.0,1,Sideways,0
2020-06-10,51.868481817231036,52.982167341217476,51.868481817231036,52.53486633300781,9194300,0.0,1,Sideways,0
2020-06-11,50.98301012617474,51.494210779087865,50.21621088793984,50.24359893798828,9877100,0.0,1,Sideways,0
2020-06-12,51.576369762420654,51.91412554512135,50.526583852224576,51.11994171142578,9838800,0.0,1,Sideways,0
2020-06-15,49.942359840133506,51.22948689062498,49.7689184227871,51.13820266723633,7509700,0.0,1,Sideways,0
2020-06-16,51.65853520117881,52.032806123477926,50.70003683746352,50.9373779296875,8827200,0.0,1,Sideways,0
2020-06-17,51.2568772534896,51.868489238751344,51.019532690350665,51.667659759521484,8248700,0.0,1,Sideways,0
2020-06-18,51.538902624988324,51.99874293354467,51.30898247071015,51.64006805419922,6831500,0.0,1,Sideways,0
2020-06-19,51.94355534713822,51.96194937853404,50.830742759962284,50.867530822753906,6965100,0.0,1,Sideways,-1
2020-06-22,51.042280605861116,51.50212097167969,50.876737793502144,51.50212097167969,4480400,0.0,1,Sideways,-1
2020-06-23,52.09070438278415,52.56893867685497,51.98953896368995,52.20106506347656,7836500,0.0,1,Sideways,0
2020-06-24,52.15507074864048,52.47696096959282,51.64924726806058,52.03551483154297,7080200,0.0,1,Sideways,-1
2020-06-25,52.01713376901104,52.50456334345792,51.456128065732905,52.458580017089844,4509600,0.0,1,Sideways,0
2020-06-26,52.42179498396784,52.66091039989046,51.695246457109576,51.80561065673828,6229300,0.0,1,Sideways,-1
2020-06-29,51.81480692276788,51.879184286313254,51.18942381263866,51.86079025268555,5016600,0.0,1,Sideways,-1
2020-06-30,51.732035578082524,52.41260078978537,51.676853477143425,52.210269927978516,7158700,0.0,1,Sideways,0
2020-07-01,52.394209609223935,52.8540499505138,52.20107399957162,52.256256103515625,6866500,0.0,1,Sideways,0
2020-07-02,53.29549773843738,54.325539149230444,53.29549773843738,53.91168212890625,10021200,0.0,1,Sideways,0
2020-07-06,55.79702337681194,57.1397597927312,55.69586145224082,56.90983963012695,12725600,0.0,1,Sideways,0
2020-07-07,56.33962868267372,56.56035355728223,55.80621579051603,55.833805084228516,6672300,0.0,1,Sideways,-1
2020-07-08,56.68910796056138,57.700758660190694,56.56035324620741,57.56280517578125,8721900,0.0,1,Sideways,1
2020-07-09,57.893894438843866,59.75164967078718,57.838712339886044,59.576908111572266,16903300,0.0,1,Sideways,1
2020-07-10,59.29181558031826,59.37458347496817,58.114621904059135,58.72161102294922,10700000,0.0,1,Sideways,-1
2020-07-13,59.96317243786574,61.69217646008379,59.76084859939479,59.8436164855957,16667700,0.0,1,Sideways,-1
2020-07-14,60.69892877420034,61.646198812716314,60.08274436305403,61.58182144165039,10482700,0.0,1,Sideways,1
2020-07-15,61.78413788302469,61.81172717608782,59.926386311849924,60.754093170166016,12432500,0.0,1,Sideways,-1
2020-07-16,60.128707386758975,61.278307989250884,59.153848321159515,61.241519927978516,15709400,0.0,1,Sideways,2
2020-07-17,61.903697208368605,62.53827904992439,61.03920223985287,61.06679153442383,11716600,0.0,1,Sideways,0
2020-07-20,61.342684004029216,61.60020042731764,60.514977201577096,61.517425537109375,6357300,0.0,1,Sideways,0
2020-07-21,63.31080282087384,63.6878751972324,62.271566372514286,62.36353302001953,10619700,0.0,1,Sideways,0
2020-07-22,62.63024811673829,63.365995411134776,62.56587075472406,63.02571105957031,7366100,0.0,1,Sideways,2
2020-07-23,62.777392643878486,62.998113998347286,61.388673129776365,61.95887756347656,8559500,0.0,1,Sideways,0
2020-07-24,65.66521436924506,70.71426029231077,65.6192275199086,67.96441650390625,41226800,0.0,1,Sideways,0
2020-07-27,74.82521217186479,76.70136138757302,73.96990895612436,76.56340789794922,39899200,0.0,1,Sideways,2
2020-07-28,72.9766530208053,73.18818264267463,70.34636598621907,70.74182891845703,31500100,0.0,1,Sideways,0
2020-07-29,70.91658365103872,76.67378714780634,70.87059680659932,76.0300064086914,28304000,0.0,1,Sideways,2
2020-07-30,73.58361638480586,74.75160717718546,72.29606267317101,73.51004028320312,16820300,0.0,1,Sideways,0
2020-07-31,73.23416582552511,73.36292055201791,71.28444738628771,72.55360412597656,12021200,0.0,1,Sideways,0
2020-08-03,71.52354901300468,72.79271258680593,71.19247049006233,72.60877227783203,10129800,0.0,1,Sideways,0
2020-08-04,72.95825784077999,73.74918365478516,72.41564268158781,73.74918365478516,12569400,0.0,1,Sideways,2
2020-08-05,74.47572256409575,77.25315431032766,74.09865022865843,75.0735092163086,14436300,0.0,1,Sideways,2
2020-08-06,75.45059167760375,75.50577026420288,73.77677339024248,74.05267333984375,9838700,0.0,1,Sideways,0
2020-08-07,74.02509541952499,74.30100242812135,73.0318456251128,73.60204315185547,8705800,1.0,1,Sideways,0
2020-08-10,74.08026274479488,74.35616266867977,72.85708606741747,73.45487976074219,7421400,1.0,1,Sideways,-1
2020-08-11,72.73755906306583,72.8387245234641,71.679931640625,71.679931640625,7056300,1.0,1,Sideways,-1
2020-08-12,71.88223226210914,73.16058761381618,71.48676936086561,73.01343536376953,8354400,1.0,1,Sideways,-1
2020-08-13,72.65475987480389,72.74672652195723,71.57873536823828,72.010986328125,6551800,1.0,1,Sideways,-1
2020-08-14,72.12135148311313,72.8662975457258,71.78107414931077,72.1121597290039,5611200,1.0,1,Sideways,-1
2020-08-17,73.39050881082997,74.3929572166007,73.26175409846687,73.74918365478516,8663900,1.0,1,Sideways,0
2020-08-18,73.77677648008844,74.32858341900683,72.88468520414418,73.0318374633789,6804800,1.0,1,Sideways,-1
2020-08-19,72.66397100411258,72.86630187222822,71.96501173696949,72.23171997070312,7976800,1.0,1,Sideways,-1
2020-08-20,70.19000646570339,70.90735604092622,69.87731850382862,70.6406478881836,11457100,1.0,1,Sideways,-1
2020-08-21,71.75347015722186,72.406449492609,71.60632492455542,72.04776763916016,7942300,1.0,1,Sideways,0
2020-08-24,73.32614180439474,73.49168460317108,72.18573273877703,72.56280517578125,6405600,1.0,1,Sideways,0
2020-08-25,73.4364874004663,74.01589061302725,73.0870113322622,73.6112289428711,6113100,1.0,1,Sideways,0
2020-08-26,74.72405098264734,75.57015547594226,74.50332959670223,75.18389129638672,7821600,1.0,1,Sideways,1
2020-08-27,75.57935595840583,75.69891191670719,73.73079589066205,74.12625885009766,8018200,1.0,1,Sideways,-1
2020-08-28,73.62963518773414,74.38377308712357,73.49168869491233,73.97911834716797,5699500,1.0,1,Sideways,-1
2020-08-31,72.65476917543621,73.35372841316612,72.36967042778333,72.88468933105469,9812900,1.0,1,Sideways,-1
2020-09-01,73.68481071149958,75.04593404274155,73.56524774528366,74.99995422363281,10193300,1.0,1,Sideways,1
2020-09-02,74.81602203397118,76.06678832209404,73.46409030955847,75.57015991210938,12567800,1.0,1,Sideways,1
2020-09-03,74.60448938059152,75.23906419423155,72.08455960006481,74.65966796875,20090100,1.0,1,Sideways,-1
2020-09-04,74.03428736372767,74.92637865710284,71.19247771363747,72.5719985961914,13638700,1.0,1,Sideways,-1
2020-09-08,71.75346897299627,72.79271242066216,71.01772878859593,71.10969543457031,11553500,1.0,1,Sideways,-1
2020-09-09,72.30527915926633,73.29852870789753,72.24090180873833,73.02262878417969,7867500,1.0,1,Sideways,0
2020-09-10,74.255014215178,74.70566278866204,72.43405044524484,72.56280517578125,11241800,1.0,1,Sideways,-1
2020-09-11,73.58366498391389,73.85037326592168,72.28691164897347,72.48924255371094,7853500,1.0,1,Sideways,-1
2020-09-14,74.03429412841797,74.60449867128605,73.5284669519538,74.03429412841797,7091100,1.0,1,Sideways,0
2020-09-15,75.00915139309846,79.81908426864585,74.84360859582172,78.95458221435547,21048400,1.0,1,Sideways,1
2020-09-16,79.54318414054535,79.54318414054535,76.37028843796257,76.45305633544922,14492600,1.0,1,Sideways,0
2020-09-17,74.87875215115199,76.07126645767705,74.51822539020648,75.71998596191406,10090200,1.0,1,Sideways,0
2020-09-18,76.14521619771817,76.5796918858135,74.0560047671927,74.16693878173828,10528300,1.0,1,Sideways,-1
2020-09-21,73.76943268125376,74.55519587446034,73.10384271195726,74.49972534179688,8417100,1.0,1,Sideways,-1
2020-09-22,74.72158947503168,74.77705295197329,73.39965586953889,74.39804077148438,6375200,1.0,1,Sideways,0
2020-09-23,73.67696855786673,73.8895902736242,72.00375477718202,72.03148651123047,9094700,1.0,1,Sideways,-1
2020-09-24,71.014626895216,73.0298821532025,70.41374670743956,72.45673370361328,9940900,1.0,1,Sideways,-1
2020-09-25,72.26260923459037,72.95593094618629,71.54155578298393,72.91895294189453,6057500,1.0,1,Sideways,0
2020-09-28,74.24089173180532,74.29636226847835,73.46437474671947,73.74169921875,5999300,1.0,1,Sideways,0
2020-09-29,73.6769814065558,75.1006027762413,73.31645469538972,74.42577362060547,6114600,1.0,1,Sideways,0
2020-09-30,74.4997295350116,75.74771432410186,74.4812440583054,74.9434585571289,5878900,1.0,1,Sideways,1
2020-10-01,75.85864247197317,76.46876900528677,75.5628254702303,76.37632751464844,6253800,1.0,1,Sideways,1
2020-10-02,74.61065302012945,75.98805005736756,74.51821154398246,74.69385528564453,6145900,1.0,1,Sideways,-1
2020-10-05,75.3871743562539,78.23440980944497,75.3871743562539,78.15121459960938,10129100,1.0,1,Sideways,2
2020-10-06,77.43941231644573,78.06802430305221,76.51498333924992,76.83853912353516,7795600,1.0,1,Sideways,2
2020-10-07,78.37307926861938,80.42531250938094,78.37307926861938,80.35135650634766,11446400,1.0,1,Sideways,2
2020-10-08,82.14475600390655,82.14475600390655,79.98158862127636,81.16486358642578,10920800,1.0,1,Sideways,2
2020-10-09,81.66404978768796,82.08929330977544,81.0169523459603,82.07080078125,7608800,1.0,1,Sideways,2
2020-10-12,82.38511200249003,84.37262863745029,81.97836100047648,84.03984069824219,10022000,1.0,1,Sideways,2
2020-10-13,83.66082370566265,83.79948946491277,82.67168496716761,82.86581420898438,8247000,1.0,1,Sideways,0
2020-10-14,82.87506462647373,83.08767935552213,81.59934804084801,81.90441131591797,8159000,1.0,1,Sideways,0
2020-10-15,80.69341662185053,82.72715781155566,80.6009751228338,81.4884262084961,10327900,1.0,1,Sideways,0
2020-10-16,81.85820215460454,81.89517311325231,79.9076561291285,80.14800262451172,7457200,1.0,1,Sideways,0
